Local time,Open,High,Low,Close,Volume
16.03.2021 00:00:00.000 GMT-0000,13.137,13.168,12.767,13.148,704.2547
17.03.2021 00:00:00.000 GMT-0000,13.297,13.368,12.568,12.577,1646.0131
18.03.2021 00:00:00.000 GMT-0000,12.837,13.398,12.597,13.277,2731.2695
19.03.2021 00:00:00.000 GMT-0000,13.198,13.548,12.697,12.778,3011.0208
20.03.2021 00:00:00.000 GMT-0000,12.778,12.778,12.778,12.778,0
21.03.2021 00:00:00.000 GMT-0000,12.778,12.778,12.778,12.778,0
22.03.2021 00:00:00.000 GMT-0000,12.607,12.677,11.847,11.938,701.0059
23.03.2021 00:00:00.000 GMT-0000,12.008,12.718,11.977,12.497,1971.0377
24.03.2021 00:00:00.000 GMT-0000,12.227,12.608,11.988,12.608,2100.0317
25.03.2021 00:00:00.000 GMT-0000,12.678,13.288,12.157,12.218,5111.0767
26.03.2021 00:00:00.000 GMT-0000,11.998,12.478,11.597,11.717,2055.0227
27.03.2021 00:00:00.000 GMT-0000,11.717,11.717,11.717,11.717,0
28.03.2021 00:00:00.000 GMT-0000,11.717,11.717,11.717,11.717,0
29.03.2021 01:00:00.000 GMT+0100,12.008,12.357,11.888,11.998,2383.0286
30.03.2021 01:00:00.000 GMT+0100,12.008,12.148,11.477,11.477,1437.0166
31.03.2021 01:00:00.000 GMT+0100,11.368,11.638,11.187,11.408,796.0073
01.04.2021 01:00:00.000 GMT+0100,11.247,11.308,10.967,11.057,380.0043
02.04.2021 01:00:00.000 GMT+0100,11.057,11.057,11.057,11.057,0
03.04.2021 01:00:00.000 GMT+0100,11.057,11.057,11.057,11.057,0
04.04.2021 01:00:00.000 GMT+0100,11.057,11.057,11.057,11.057,0
05.04.2021 01:00:00.000 GMT+0100,10.707,10.887,10.667,10.757,323.0077
06.04.2021 01:00:00.000 GMT+0100,10.748,10.838,10.578,10.778,434.015
07.04.2021 01:00:00.000 GMT+0100,10.757,10.797,10.437,10.487,472.011
08.04.2021 01:00:00.000 GMT+0100,10.327,10.427,10.228,10.338,326.009
09.04.2021 01:00:00.000 GMT+0100,10.407,10.478,10.137,10.308,262.006
10.04.2021 01:00:00.000 GMT+0100,10.308,10.308,10.308,10.308,0
11.04.2021 01:00:00.000 GMT+0100,10.308,10.308,10.308,10.308,0
12.04.2021 01:00:00.000 GMT+0100,10.388,10.578,10.157,10.168,377.011
13.04.2021 01:00:00.000 GMT+0100,10.168,10.208,9.997,10.068,332.003
14.04.2021 01:00:00.000 GMT+0100,10.128,10.328,10.037,10.297,721.014
15.04.2021 01:00:00.000 GMT+0100,10.048,10.097,9.907,9.958,258.007
16.04.2021 01:00:00.000 GMT+0100,9.957,10.028,9.728,9.797,211.002
17.04.2021 01:00:00.000 GMT+0100,9.797,9.797,9.797,9.797,0
18.04.2021 01:00:00.000 GMT+0100,9.797,9.797,9.797,9.797,0
19.04.2021 01:00:00.000 GMT+0100,9.877,10.438,9.847,10.158,1094.019
20.04.2021 01:00:00.000 GMT+0100,10.287,10.738,10.207,10.377,1600.0231
21.04.2021 01:00:00.000 GMT+0100,10.438,10.568,9.786,9.827,583.017
22.04.2021 01:00:00.000 GMT+0100,9.817,10.627,9.766,10.417,3066.0481
23.04.2021 01:00:00.000 GMT+0100,41.356,41.567,39.277,40.086,11750.8633
24.04.2021 01:00:00.000 GMT+0100,40.086,40.086,40.086,40.086,0
25.04.2021 01:00:00.000 GMT+0100,40.086,40.086,40.086,40.086,0
26.04.2021 01:00:00.000 GMT+0100,39.726,40.417,39.626,39.827,8187.646
27.04.2021 01:00:00.000 GMT+0100,39.606,40.237,38.836,39.006,13391.5557
28.04.2021 01:00:00.000 GMT+0100,38.827,39.387,38.486,38.847,14649.8447
29.04.2021 01:00:00.000 GMT+0100,38.106,40.157,37.996,38.586,23238.8848
30.04.2021 01:00:00.000 GMT+0100,39.406,40.517,38.917,40.117,27180.0762
01.05.2021 01:00:00.000 GMT+0100,40.117,40.117,40.117,40.117,0
02.05.2021 01:00:00.000 GMT+0100,40.117,40.117,40.117,40.117,0
03.05.2021 01:00:00.000 GMT+0100,39.136,39.607,38.696,38.726,15429.832
04.05.2021 01:00:00.000 GMT+0100,39.737,42.377,39.456,40.196,46736.5664
05.05.2021 01:00:00.000 GMT+0100,39.497,40.407,38.476,39.177,21274.9668
06.05.2021 01:00:00.000 GMT+0100,39.297,40.877,38.816,38.967,37054.9961
07.05.2021 01:00:00.000 GMT+0100,38.907,39.007,36.566,36.737,15973.4785
08.05.2021 01:00:00.000 GMT+0100,36.737,36.737,36.737,36.737,0
09.05.2021 01:00:00.000 GMT+0100,36.737,36.737,36.737,36.737,0
10.05.2021 01:00:00.000 GMT+0100,36.627,38.386,36.036,38.336,25799.8926
11.05.2021 01:00:00.000 GMT+0100,40.476,42.137,39.296,41.177,64310.0742
12.05.2021 01:00:00.000 GMT+0100,42.717,49.937,42.656,48.266,98473.6016
13.05.2021 01:00:00.000 GMT+0100,45.676,45.676,42.437,43.736,74826.4063
14.05.2021 01:00:00.000 GMT+0100,41.426,41.466,38.216,38.577,19579.0645
15.05.2021 01:00:00.000 GMT+0100,38.577,38.577,38.577,38.577,0
16.05.2021 01:00:00.000 GMT+0100,38.577,38.577,38.577,38.577,0
17.05.2021 01:00:00.000 GMT+0100,39.367,41.407,38.646,39.816,68177.625
18.05.2021 01:00:00.000 GMT+0100,39.376,40.597,38.416,40.447,36968.5977
19.05.2021 01:00:00.000 GMT+0100,43.076,46.307,42.037,42.287,100857.5078
20.05.2021 01:00:00.000 GMT+0100,41.177,41.746,39.596,39.986,31993.2969
21.05.2021 01:00:00.000 GMT+0100,39.316,39.996,38.846,39.467,36015.3828
22.05.2021 01:00:00.000 GMT+0100,39.467,39.467,39.467,39.467,0
23.05.2021 01:00:00.000 GMT+0100,39.467,39.467,39.467,39.467,0
24.05.2021 01:00:00.000 GMT+0100,38.637,38.697,37.296,37.696,12013.5098
25.05.2021 01:00:00.000 GMT+0100,37.467,38.347,37.367,37.717,24714.8496
26.05.2021 01:00:00.000 GMT+0100,37.146,37.257,35.747,35.866,13530.5801
