Local time,Open,High,Low,Close,Volume
10.03.2021 00:00:00.000 GMT-0000,31858.289,32391.279,31747.219,32310.239,40.5638
11.03.2021 00:00:00.000 GMT-0000,32311.199,32659.799,32271.779,32527.799,32.3014
12.03.2021 00:00:00.000 GMT-0000,32527.769,32825.729,32394.499,32799.259,33.0162
13.03.2021 00:00:00.000 GMT-0000,32799.259,32799.259,32799.259,32799.259,0
14.03.2021 00:00:00.000 GMT-0000,32831.499,32905.249,32812.279,32889.799,1.1458
15.03.2021 00:00:00.000 GMT-0000,32889.499,32970.299,32627.719,32889.219,19.0453
16.03.2021 00:00:00.000 GMT-0000,32889.289,32974.099,32776.209,32827.709,11.3773
17.03.2021 00:00:00.000 GMT-0000,32829.499,33100.289,32779.199,33094.199,12.4744
18.03.2021 00:00:00.000 GMT-0000,33095.239,33230.277,32837.209,32895.229,15.6097
19.03.2021 00:00:00.000 GMT-0000,32895.297,32981.499,32516.799,32604.779,14.5647
20.03.2021 00:00:00.000 GMT-0000,32604.779,32604.779,32604.779,32604.779,0
21.03.2021 00:00:00.000 GMT-0000,32583.259,32610.279,32533.719,32580.289,0.5769
22.03.2021 00:00:00.000 GMT-0000,32580.779,32810.499,32428.519,32792.249,12.784
23.03.2021 00:00:00.000 GMT-0000,32793.217,32803.289,32352.719,32419.199,14.7433
24.03.2021 00:00:00.000 GMT-0000,32420.279,32785.299,32351.269,32486.499,15.4486
25.03.2021 00:00:00.000 GMT-0000,32487.297,32697.259,32069.239,32656.289,17.1347
26.03.2021 00:00:00.000 GMT-0000,32655.269,33106.769,32612.269,33093.229,13.567
27.03.2021 00:00:00.000 GMT-0000,33093.229,33093.229,33093.229,33093.229,0
28.03.2021 00:00:00.000 GMT-0000,33061.759,33070.277,33000.199,33001.199,1.2726
29.03.2021 01:00:00.000 GMT+0100,33001.277,33256.299,32867.209,33194.199,33.9444
30.03.2021 01:00:00.000 GMT+0100,33194.699,33251.097,32985.729,33070.279,23.4632
31.03.2021 01:00:00.000 GMT+0100,33070.749,33172.777,32992.589,33039.229,19.3268
01.04.2021 01:00:00.000 GMT+0100,33038.739,33179.779,32963.299,33161.499,17.4723
02.04.2021 01:00:00.000 GMT+0100,33162.499,33385.539,33137.709,33311.559,3.2366
03.04.2021 01:00:00.000 GMT+0100,33311.559,33311.559,33311.559,33311.559,0
04.04.2021 01:00:00.000 GMT+0100,33364.719,33379.779,33270.719,33350.699,1.2229
05.04.2021 01:00:00.000 GMT+0100,33351.739,33618.499,33304.699,33542.699,17.1383
06.04.2021 01:00:00.000 GMT+0100,33541.499,33545.299,33379.199,33484.229,24.7824
07.04.2021 01:00:00.000 GMT+0100,33484.297,33520.299,33346.269,33484.199,16.7895
08.04.2021 01:00:00.000 GMT+0100,33485.709,33573.279,33336.239,33572.719,16.5217
09.04.2021 01:00:00.000 GMT+0100,33572.289,33805.297,33483.499,33753.759,20.0278
10.04.2021 01:00:00.000 GMT+0100,33753.759,33753.759,33753.759,33753.759,0
11.04.2021 01:00:00.000 GMT+0100,33767.237,33795.499,33748.999,33753.289,0.7712
12.04.2021 01:00:00.000 GMT+0100,33754.799,33784.289,33662.729,33753.799,16.1919
13.04.2021 01:00:00.000 GMT+0100,33753.279,33822.797,33543.289,33646.199,20.9983
14.04.2021 01:00:00.000 GMT+0100,33646.229,33908.299,33629.709,33774.709,21.0004
15.04.2021 01:00:00.000 GMT+0100,33775.719,34070.739,33769.709,34040.739,22.661
16.04.2021 01:00:00.000 GMT+0100,34040.209,34252.269,33987.739,34170.279,22.5714
17.04.2021 01:00:00.000 GMT+0100,34170.279,34170.279,34170.279,34170.279,0
18.04.2021 01:00:00.000 GMT+0100,34118.749,34146.499,34092.759,34093.799,0.6077
19.04.2021 01:00:00.000 GMT+0100,34093.269,34155.079,33969.699,34136.239,28.9592
20.04.2021 01:00:00.000 GMT+0100,34136.799,34172.999,33680.709,33809.299,31.8246
21.04.2021 01:00:00.000 GMT+0100,33809.799,34156.259,33731.699,34076.779,26.8694
22.04.2021 01:00:00.000 GMT+0100,34077.199,34149.999,33716.729,33820.709,31.3566
23.04.2021 01:00:00.000 GMT+0100,33821.279,34158.279,33714.209,34012.289,23.7846
24.04.2021 01:00:00.000 GMT+0100,34012.289,34012.289,34012.289,34012.289,0
25.04.2021 01:00:00.000 GMT+0100,34039.779,34063.279,34004.749,34007.229,0.5761
26.04.2021 01:00:00.000 GMT+0100,34008.219,34146.769,33936.749,34004.279,20.913
27.04.2021 01:00:00.000 GMT+0100,34003.779,34075.219,33867.209,33908.769,20.9752
28.04.2021 01:00:00.000 GMT+0100,33909.999,33971.299,33805.249,33850.719,21.6287
29.04.2021 01:00:00.000 GMT+0100,33850.239,34083.499,33735.769,34027.199,24.9977
30.04.2021 01:00:00.000 GMT+0100,34027.709,34045.759,33784.699,33915.219,26.3209
01.05.2021 01:00:00.000 GMT+0100,33915.219,33915.219,33915.219,33915.219,0
02.05.2021 01:00:00.000 GMT+0100,33946.999,33980.789,33927.699,33978.209,0.8007
03.05.2021 01:00:00.000 GMT+0100,33978.739,34218.779,33957.739,34086.219,21.4942
04.05.2021 01:00:00.000 GMT+0100,34085.749,34157.499,33759.209,34141.779,31.415
05.05.2021 01:00:00.000 GMT+0100,34143.219,34330.199,34036.719,34231.199,25.5039
06.05.2021 01:00:00.000 GMT+0100,34231.299,34556.799,34178.249,34517.279,31.1466
07.05.2021 01:00:00.000 GMT+0100,34517.779,34813.229,34461.759,34801.759,25.5529
08.05.2021 01:00:00.000 GMT+0100,34801.759,34801.759,34801.759,34801.759,0
09.05.2021 01:00:00.000 GMT+0100,34804.757,34833.999,34784.699,34823.199,0.5126
10.05.2021 01:00:00.000 GMT+0100,34822.219,35091.299,34721.759,34801.739,27.2352
11.05.2021 01:00:00.000 GMT+0100,34802.799,34816.719,34072.219,34288.289,44.4189
12.05.2021 01:00:00.000 GMT+0100,34291.219,34316.259,33553.709,33671.759,45.8482
13.05.2021 01:00:00.000 GMT+0100,33671.209,34176.499,33286.999,34056.759,45.4551
14.05.2021 01:00:00.000 GMT+0100,34058.219,34455.799,34037.729,34424.499,30.3027
15.05.2021 01:00:00.000 GMT+0100,34424.499,34424.499,34424.499,34424.499,0
